CI_WindSpeed1
CI_GearboxInputShaftTemp
CI_GearboxOutputShaftTemp
CI_GeaboxInletOilTemp
CI_GenBearingTemperatureB
CI_NacelleCabTemp
CI_PcsActivePower
CI_IprRealPower
CI_MainBearingRotorSideTemp
CI_MainBearingGbSideTemp
CI_PitchHubTempS1
CI_PitchHubTempS2
CI_PitchHubTempS3
CI_GenWindingTemperatureU1
A_PitchMotorTempTooHighS1
A_PitchMotorTempTooHighS2
A_PitchMotorTempTooHighS3
S_ControllerState
